79.94,68.91,11.03,2023-07-06T13:22:15,BD27E98E-E9F6-565F-B232-C59F717322DC
79.91,68.89,11.02,2023-07-07T10:50:00,02270066-83A0-56C6-9FEB-2CBA63FA2CF6
169.95,146.51,23.44,2023-06-30T19:03:42,FA68F2D3-E254-5D8E-9C95-8D69E25D3C1F
152.71,131.65,21.06,2023-07-06T08:15:34,003DF8DB-3721-5F0F-ADD4-6BA61226C9BD
149.99,129.30,20.69,2023-07-01T17:39:28,70AC9EFC-F621-5719-BF3F-8A9ED60D3E22
222.67,191.96,30.71,2023-07-05T12:46:01,7D93A541-005A-5A46-A9CA-2BB90DD3FB65

179.91,155.09,24.82,2023-07-12T00:54:16,A84D9C19-A852-5047-B659-BA0E03D22448
70.06,60.40,9.66,2023-07-10T12:08:33,7E9BDBFE-C1BA-54CB-808D-2DDDA7E2685F
199.90,172.33,27.57,2023-07-10T10:54:46,21EFD6AE-4C3B-5D6F-8750-E3D73BEC570B
79.97,68.94,11.03,2023-07-10T12:23:59,321E2263-7C27-5FEF-92AB-B9AB04624D32
70.56,60.83,9.73,2023-07-11T14:33:36,10B4ED6A-CCA3-5232-B20E-C10B7BB1DD11
40.73,35.11,5.62,2023-07-11T14:57:44,63B7E49F-58E5-52D7-A530-23EBA0DEBF61
34.64,29.86,4.78,2023-07-12T14:46:38,AF21D653-DCDF-50A3-8F4D-DF4555FFE5A5
